Timestamp,Year,Month,Total Offenses,Total Unique Offenders,New Offenders This Month,Repeat Offenders,Repeat Offenders Within The Year,Repeat Offenders Within Past 6 Months,Repeat Offenders Within The Month
1,2013,10,1349,1119,1119,230,230,230,230
2,2013,11,8735,6541,5422,1964,1964,1964,1435
3,2013,12,19105,13755,7214,3156,3156,3156,1518
4,2014,1,28358,19966,6211,3042,3042,3042,1024
5,2014,2,44849,30716,10750,5741,5741,5741,2127
6,2014,3,79011,51703,20987,13175,13175,13175,5187
7,2014,4,126912,79497,27794,20107,20107,20107,6371
8,2014,5,190979,114002,34505,29562,29562,29521,8090
9,2014,6,245066,141037,27035,27052,27052,26804,5527
10,2014,7,300200,167279,26242,28892,28892,28429,5398
11,2014,8,341640,186565,19286,22154,22154,21718,3125
12,2014,9,394440,211043,24478,28322,28322,27430,4196
13,2014,10,445945,234205,23162,28343,28343,26923,3560
14,2014,11,495955,255967,21762,28248,28241,26034,3077
15,2014,12,547023,278167,22200,28868,28792,25463,2932
16,2015,1,587234,295045,16878,23333,23225,20029,2133
17,2015,2,620620,309211,14166,19220,19095,16038,1568
18,2015,3,674088,331613,22402,31066,30721,25158,3463
19,2015,4,726364,353464,21851,30425,29885,24307,3027
20,2015,5,787439,378659,25195,35880,34798,28046,3949
21,2015,6,842585,400710,22051,33095,31628,25723,3270
22,2015,7,897118,422282,21572,32961,31113,25379,3472
23,2015,8,943552,440173,17891,28543,26762,22072,2609
24,2015,9,1000894,462290,22117,35225,32630,26993,3504
25,2015,10,1061718,485210,22920,37904,34765,28845,3441
26,2015,11,1108743,502517,17307,29718,27108,22427,2095
27,2015,12,1153028,518827,16310,27975,25194,20299,1841
28,2016,1,1199432,535413,16586,29818,26615,21420,2260
29,2016,2,1244718,551765,16352,28934,25700,20533,2149
30,2016,3,1298342,570993,19228,34396,30652,24520,2858
31,2016,4,1350319,589796,18803,33174,29272,23356,2806
32,2016,5,1407602,610244,20448,36835,32073,25241,3085
33,2016,6,1458705,628587,18343,32760,28256,22421,2640
34,2016,7,1510233,646707,18120,33408,28818,23142,2963
35,2016,8,1556348,662617,15910,30205,26143,21408,2381
36,2016,9,1607276,680359,17742,33186,28178,22777,2655
37,2016,10,1659189,698332,17973,33940,28500,22912,2490
38,2016,11,1710690,716124,17792,33709,28189,22832,2477
39,2016,12,1753918,730823,14699,28529,23712,18649,1633
40,2017,1,1792977,743839,13016,26043,21699,17305,1493
41,2017,2,1837666,759024,15185,29504,24243,18981,1957
42,2017,3,1885909,775517,16493,31750,26094,20554,2361
43,2017,4,1931670,791070,15553,30208,24615,19250,2065
44,2017,5,1982834,808265,17195,33969,27672,21602,2456
45,2017,6,2029657,824084,15819,31004,25094,19712,2226
46,2017,7,2076241,839939,15855,30729,24687,19684,2347
47,2017,8,2116434,853586,13647,26546,21396,17146,1850
48,2017,9,2166631,870381,16795,33402,26501,20976,2396
49,2017,10,2214067,886151,15770,31666,25269,20049,2011
50,2017,11,2259806,901345,15194,30545,24263,19335,1892
51,2017,12,2303743,915345,14000,29937,23609,18575,1531
52,2018,1,2341055,927335,11990,25322,19986,15879,1429
53,2018,2,2373104,937885,10550,21499,16781,13056,1061
54,2018,3,2421921,954112,16227,32590,25343,19803,2497
55,2018,4,2466622,968913,14801,29900,23227,18276,1948
56,2018,5,2466657,968929,16,19,14,14,1
